S.No.175,Name of the customer,Place,Inv. No.,Inv. Date,DAYS OF INVOICE,Invoice Value,Amount Pending,PAYMENT RECIEVED DATE,Remarks,STATUS,,
185,SASIDHAR POULTRIES PVT LTD,TANUKU,OE/22-23/0185,7/7/2022,1098,380000.00,380000.00,,,N,,
186,SAI RAM POULTRY FARM,SHADNAGAR,OE/22-23/0186,7/8/2022,1097,10000.00,10000.00,,,N,,
188,SRI LAKSHMI HATCHERIES,RM-HYDERABAD,OE/22-23/0188,7/12/2022,1093,16500.00,16500.00,,,N,,
193,SRI TIRUMALA PHARMA,RM-HYDERABAD,OE/22-23/0193,7/13/2022,1092,16560.00,16560.00,,,N,,
194,MAYURI BROILER BREEDING FARMS PRIVATE LIMITED,RM-HYDERABAD,OE/22-23/0194,7/13/2022,1092,85000.00,85000.00,,,N,,
195,SRI KRISHNAVENI POULTRY NEEDS,TANUKU,OE/22-23/0195,7/14/2022,1091,30000.00,30000.00,,,N,,
196,HEENA BREEDERS,AP-TS INSTITUTIONAL,OE/22-23/0196,7/14/2022,1091,14250.00,14250.00,,,N,,
197,SRI TIRUMALA PHARMA,RM-HYDERABAD,OE/22-23/0197,7/15/2022,1090,69270.00,69270.00,,,N,,
198,RAMNATH BREEDING FARMS,RM-HYDERABAD,OE/22-23/0198,7/15/2022,1090,53000.00,53000.00,,,N,,
199,SLR HATCHERIES (P) Ltd,RM-HYDERABAD,OE/22-23/0199,7/15/2022,1090,33000.00,33000.00,,,N,,
200,SRI RAMA POULTRIES,TANUKU,OE/22-23/0200,7/16/2022,1089,120000.00,120000.00,,,N,,
202,ROHINI TRADERS,SHADNAGAR,OE/22-23/0202,7/18/2022,1087,49773.00,49773.00,,,N,,
203,MAYURI BROILER BREEDING FARMS PRIVATE LIMITED,RM-HYDERABAD,OE/22-23/0203,7/19/2022,1086,170000.00,170000.00,,,N,,
204,SRI VENKATESHWARA POULTRY FARM & FEEDS,AP-TS INSTITUTIONAL,OE/22-23/0204,7/20/2022,1085,116500.00,116500.00,,,N,,
205,Teja Poultry Agencies,SHADNAGAR,OE/22-23/0205,7/20/2022,1085,23642.00,23642.00,,,N,,
206,AADARSH POULTRY MEDICAL AGENCIES,SHADNAGAR,OE/22-23/0206,7/20/2022,1085,35463.00,35463.00,,,N,,
207,N DURGA PRASAD POULTRY FARM,SHADNAGAR,OE/22-23/0207,7/20/2022,1085,45000.00,45000.00,,,N,,
208,SAMAD POULTRY FARM,SHADNAGAR,OE/22-23/0208,7/25/2022,1080,3400.00,3400.00,,,N,,
209,GRACE LAYER POULTRY FARM,SHADNAGAR,OE/22-23/0209,7/28/2022,1077,145500.00,145500.00,,,N,,
210,AADARSH POULTRY MEDICAL AGENCIES,SHADNAGAR,OE/22-23/0210,7/28/2022,1077,8906.00,8906.00,,,N,,
211,INDBRO RESEARCH & BREEDING FARMS PVT. LTD,RM-HYDERABAD,OE/22-23/0211,7/29/2022,1076,55780.00,55780.00,,,N,,
